[27/10/2019 06:56:20.085] Namenode heartbeat monitor created
[27/10/2019 06:56:20.085] Started NodeKiller
[27/10/2019 06:56:24.558] Namenode has detected a failure in Datanode #12
[27/10/2019 07:04:01.160] Datanode #119 has received a block #8
[27/10/2019 07:04:01.161] Datanode #162 has received a block #2
[27/10/2019 07:04:02.672] Datanode #162 has received a block #2
[27/10/2019 07:04:02.673] Datanode #119 has received a block #8
[27/10/2019 07:04:05.183] Datanode #119 has received a block #8
[27/10/2019 07:04:05.184] Datanode #162 has received a block #2
[27/10/2019 07:04:06.694] Datanode #119 has received a block #8
[27/10/2019 07:04:06.695] Datanode #162 has received a block #2
[27/10/2019 07:04:09.225] Datanode #162 has received a block #2
[27/10/2019 07:04:09.225] Datanode #119 has received a block #8
[27/10/2019 07:04:10.735] Datanode #119 has received a block #8
[27/10/2019 07:04:10.736] Datanode #162 has received a block #2
[27/10/2019 07:04:13.253] Datanode #162 has received a block #2
[27/10/2019 07:04:13.253] Datanode #119 has received a block #8
[27/10/2019 07:04:14.768] Datanode #119 has received a block #8
[27/10/2019 07:04:14.769] Datanode #162 has received a block #2
[27/10/2019 07:04:17.296] Datanode #162 has received a block #2
[27/10/2019 07:04:17.296] Datanode #119 has received a block #8
[27/10/2019 07:04:18.806] Datanode #162 has received a block #2
[27/10/2019 07:04:18.806] Datanode #119 has received a block #8
[27/10/2019 07:04:21.333] Datanode #162 has received a block #2
[27/10/2019 07:04:21.333] Datanode #119 has received a block #8
[27/10/2019 07:04:22.843] Datanode #162 has received a block #2
[27/10/2019 07:04:22.844] Datanode #119 has received a block #8
[27/10/2019 07:04:25.374] Datanode #119 has received a block #8
[27/10/2019 07:04:25.375] Datanode #162 has received a block #2
[27/10/2019 07:04:26.899] Datanode #119 has received a block #8
[27/10/2019 07:04:26.899] Datanode #162 has received a block #2
[27/10/2019 07:04:29.403] Datanode #119 has received a block #8
[27/10/2019 07:04:29.404] Datanode #162 has received a block #2
[27/10/2019 07:04:30.916] Datanode #119 has received a block #8
[27/10/2019 07:04:30.917] Datanode #162 has received a block #2
[27/10/2019 07:04:33.434] Datanode #162 has received a block #2
[27/10/2019 07:04:33.435] Datanode #119 has received a block #8
[27/10/2019 07:04:35.965] Datanode #119 has received a block #8
[27/10/2019 07:04:35.965] Datanode #162 has received a block #2
[27/10/2019 07:04:37.478] Datanode #119 has received a block #8
[27/10/2019 07:04:37.479] Datanode #162 has received a block #2
[27/10/2019 07:04:40.003] Datanode #162 has received a block #2
[27/10/2019 07:04:40.003] Datanode #119 has received a block #8
[27/10/2019 07:04:41.524] Datanode #162 has received a block #2
[27/10/2019 07:04:41.525] Datanode #119 has received a block #8
[27/10/2019 07:04:44.052] Datanode #119 has received a block #8
[27/10/2019 07:04:44.052] Datanode #162 has received a block #2
[27/10/2019 07:04:45.562] Datanode #119 has received a block #8
[27/10/2019 07:04:45.562] Datanode #162 has received a block #2
[27/10/2019 07:04:48.076] Datanode #162 has received a block #2
[27/10/2019 07:04:48.077] Datanode #119 has received a block #8
[27/10/2019 07:04:49.584] Datanode #119 has received a block #8
[27/10/2019 07:04:49.584] Datanode #162 has received a block #2
[27/10/2019 07:04:52.100] Datanode #119 has received a block #8
[27/10/2019 07:04:52.101] Datanode #162 has received a block #2
[27/10/2019 07:04:53.623] Datanode #119 has received a block #8
[27/10/2019 07:04:53.624] Datanode #162 has received a block #2
[27/10/2019 07:04:56.131] Datanode #162 has received a block #2
[27/10/2019 07:04:56.131] Datanode #119 has received a block #8
[27/10/2019 07:04:57.634] Datanode #162 has received a block #2
[27/10/2019 07:04:57.634] Datanode #119 has received a block #8
[27/10/2019 07:05:00.143] Datanode #162 has received a block #2
[27/10/2019 07:05:00.143] Datanode #119 has received a block #8
[27/10/2019 07:05:01.652] Datanode #162 has received a block #2
[27/10/2019 07:05:01.652] Datanode #119 has received a block #8
[27/10/2019 07:05:04.166] Datanode #119 has received a block #8
[27/10/2019 07:05:04.166] Datanode #162 has received a block #2
[27/10/2019 07:05:05.678] Datanode #162 has received a block #2
[27/10/2019 07:05:05.678] Datanode #119 has received a block #8
[27/10/2019 07:05:08.201] Datanode #162 has received a block #2
[27/10/2019 07:05:08.202] Datanode #119 has received a block #8
[27/10/2019 07:05:09.720] Datanode #162 has received a block #2
[27/10/2019 07:05:09.720] Datanode #119 has received a block #8
[27/10/2019 07:05:12.239] Datanode #119 has received a block #8
[27/10/2019 07:05:12.240] Datanode #162 has received a block #2
[27/10/2019 07:05:13.749] Datanode #119 has received a block #8
[27/10/2019 07:05:13.750] Datanode #162 has received a block #2
[27/10/2019 07:05:16.264] Datanode #119 has received a block #8
[27/10/2019 07:05:16.265] Datanode #162 has received a block #2
[27/10/2019 07:05:17.774] Datanode #119 has received a block #8
[27/10/2019 07:05:17.774] Datanode #162 has received a block #2
[27/10/2019 07:05:20.297] Datanode #162 has received a block #2
[27/10/2019 07:05:20.297] Datanode #119 has received a block #8
[27/10/2019 07:05:21.823] Datanode #119 has received a block #8
[27/10/2019 07:05:21.823] Datanode #162 has received a block #2
[27/10/2019 07:05:23.849] Datanode #119 has received a block #8
[27/10/2019 07:05:23.850] Datanode #162 has received a block #2
[27/10/2019 07:05:26.384] Datanode #119 has received a block #8
[27/10/2019 07:05:26.384] Datanode #162 has received a block #2
[27/10/2019 07:05:27.903] Datanode #162 has received a block #2
[27/10/2019 07:05:27.904] Datanode #119 has received a block #8
[27/10/2019 07:05:30.439] Datanode #162 has received a block #2
[27/10/2019 07:05:30.440] Datanode #119 has received a block #8
[27/10/2019 07:05:31.966] Datanode #119 has received a block #8
[27/10/2019 07:05:31.966] Datanode #162 has received a block #2
[27/10/2019 07:05:34.495] Datanode #119 has received a block #8
[27/10/2019 07:05:34.495] Datanode #162 has received a block #2
[27/10/2019 07:05:36.011] Datanode #119 has received a block #8
[27/10/2019 07:05:36.011] Datanode #162 has received a block #2
[27/10/2019 07:05:38.528] Datanode #162 has received a block #2
[27/10/2019 07:05:38.529] Datanode #119 has received a block #8
[27/10/2019 07:05:40.035] Datanode #119 has received a block #8
[27/10/2019 07:05:40.035] Datanode #162 has received a block #2
[27/10/2019 07:05:42.553] Datanode #162 has received a block #2
[27/10/2019 07:05:42.554] Datanode #119 has received a block #8
[27/10/2019 07:05:44.063] Datanode #162 has received a block #2
[27/10/2019 07:05:44.064] Datanode #119 has received a block #8
[27/10/2019 07:05:46.581] Datanode #119 has received a block #8
[27/10/2019 07:05:46.582] Datanode #162 has received a block #2
[27/10/2019 07:05:48.094] Datanode #119 has received a block #8
[27/10/2019 07:05:48.094] Datanode #162 has received a block #2
[27/10/2019 07:05:50.626] Datanode #162 has received a block #2
[27/10/2019 07:05:50.626] Datanode #119 has received a block #8
[27/10/2019 07:05:52.144] Datanode #162 has received a block #2
[27/10/2019 07:05:52.145] Datanode #119 has received a block #8
[27/10/2019 07:05:54.656] Datanode #119 has received a block #8
[27/10/2019 07:05:54.656] Datanode #162 has received a block #2
[27/10/2019 07:05:56.173] Datanode #119 has received a block #8
[27/10/2019 07:05:56.173] Datanode #162 has received a block #2
[27/10/2019 07:05:58.699] Datanode #119 has received a block #8
[27/10/2019 07:05:58.699] Datanode #162 has received a block #2
[27/10/2019 07:06:00.209] Datanode #119 has received a block #8
[27/10/2019 07:06:00.210] Datanode #162 has received a block #2
[27/10/2019 07:06:02.727] Datanode #162 has received a block #2
[27/10/2019 07:06:02.728] Datanode #119 has received a block #8
[27/10/2019 07:06:04.244] Datanode #119 has received a block #8
[27/10/2019 07:06:04.244] Datanode #162 has received a block #2
[27/10/2019 07:06:06.777] Datanode #162 has received a block #2
[27/10/2019 07:06:06.777] Datanode #119 has received a block #8
[27/10/2019 07:06:08.284] Datanode #119 has received a block #8
[27/10/2019 07:06:08.284] Datanode #162 has received a block #2
[27/10/2019 07:06:10.819] Datanode #162 has received a block #2
[27/10/2019 07:06:10.819] Datanode #119 has received a block #8
[27/10/2019 07:06:12.341] Datanode #162 has received a block #2
[27/10/2019 07:06:12.341] Datanode #119 has received a block #8
[27/10/2019 07:06:14.879] Datanode #119 has received a block #8
[27/10/2019 07:06:14.880] Datanode #162 has received a block #2
[27/10/2019 07:06:16.395] Datanode #162 has received a block #2
[27/10/2019 07:06:16.395] Datanode #119 has received a block #8
[27/10/2019 07:06:18.914] Datanode #162 has received a block #2
[27/10/2019 07:06:18.915] Datanode #119 has received a block #8
[27/10/2019 07:06:20.420] Datanode #162 has received a block #2
[27/10/2019 07:06:20.420] Datanode #119 has received a block #8
[27/10/2019 07:06:22.962] Datanode #162 has received a block #2
[27/10/2019 07:06:22.963] Datanode #119 has received a block #8
[27/10/2019 07:06:24.476] Datanode #162 has received a block #2
[27/10/2019 07:06:24.476] Datanode #119 has received a block #8
[27/10/2019 07:06:26.998] Datanode #119 has received a block #8
[27/10/2019 07:06:26.998] Datanode #162 has received a block #2
[27/10/2019 07:06:28.519] Datanode #119 has received a block #8
[27/10/2019 07:06:28.519] Datanode #162 has received a block #2
[27/10/2019 07:06:31.045] Datanode #119 has received a block #8
[27/10/2019 07:06:31.045] Datanode #162 has received a block #2
[27/10/2019 07:06:32.565] Datanode #162 has received a block #2
[27/10/2019 07:06:32.566] Datanode #119 has received a block #8
[27/10/2019 07:06:35.087] Datanode #119 has received a block #8
[27/10/2019 07:06:35.087] Datanode #162 has received a block #2
[27/10/2019 07:06:36.101] Datanode #162 has received a block #2
[27/10/2019 07:06:36.101] Datanode #119 has received a block #8
[27/10/2019 07:06:38.628] Datanode #119 has received a block #8
[27/10/2019 07:06:38.628] Datanode #162 has received a block #2
[27/10/2019 07:06:41.152] Datanode #162 has received a block #2
[27/10/2019 07:06:41.152] Datanode #119 has received a block #8
[27/10/2019 07:06:42.668] Datanode #162 has received a block #2
[27/10/2019 07:06:42.669] Datanode #119 has received a block #8
[27/10/2019 07:06:45.187] Datanode #119 has received a block #8
[27/10/2019 07:06:45.187] Datanode #162 has received a block #2
[27/10/2019 07:06:46.709] Datanode #119 has received a block #8
[27/10/2019 07:06:46.709] Datanode #162 has received a block #2
[27/10/2019 07:06:49.234] Datanode #119 has received a block #8
[27/10/2019 07:06:49.234] Datanode #162 has received a block #2
[27/10/2019 07:06:50.749] Datanode #162 has received a block #2
[27/10/2019 07:06:50.749] Datanode #119 has received a block #8
[27/10/2019 07:06:53.288] Datanode #119 has received a block #8
[27/10/2019 07:06:53.288] Datanode #162 has received a block #2
[27/10/2019 07:06:54.806] Datanode #119 has received a block #8
[27/10/2019 07:06:54.806] Datanode #162 has received a block #2
[27/10/2019 07:06:57.344] Datanode #119 has received a block #8
[27/10/2019 07:06:57.344] Datanode #162 has received a block #2
[27/10/2019 07:06:58.861] Datanode #119 has received a block #8
[27/10/2019 07:06:58.862] Datanode #162 has received a block #2
[27/10/2019 07:07:01.402] Datanode #162 has received a block #2
[27/10/2019 07:07:01.402] Datanode #119 has received a block #8
[27/10/2019 07:07:02.920] Datanode #162 has received a block #2
[27/10/2019 07:07:02.920] Datanode #119 has received a block #8
[27/10/2019 07:07:05.447] Datanode #119 has received a block #8
[27/10/2019 07:07:05.448] Datanode #162 has received a block #2
[27/10/2019 07:07:06.960] Datanode #119 has received a block #8
[27/10/2019 07:07:06.961] Datanode #162 has received a block #2
[27/10/2019 07:07:09.498] Datanode #119 has received a block #8
[27/10/2019 07:07:09.498] Datanode #162 has received a block #2
[27/10/2019 07:07:11.017] Datanode #119 has received a block #8
[27/10/2019 07:07:11.018] Datanode #162 has received a block #2
[27/10/2019 07:07:13.545] Datanode #119 has received a block #8
[27/10/2019 07:07:13.545] Datanode #162 has received a block #2
[27/10/2019 07:07:15.068] Datanode #119 has received a block #8
[27/10/2019 07:07:15.068] Datanode #162 has received a block #2
[27/10/2019 07:07:17.595] Datanode #162 has received a block #2
[27/10/2019 07:07:17.596] Datanode #119 has received a block #8
[27/10/2019 07:07:19.114] Datanode #119 has received a block #8
[27/10/2019 07:07:19.115] Datanode #162 has received a block #2
[27/10/2019 07:07:21.653] Datanode #119 has received a block #8
[27/10/2019 07:07:21.653] Datanode #162 has received a block #2
[27/10/2019 07:07:23.171] Datanode #162 has received a block #2
[27/10/2019 07:07:23.172] Datanode #119 has received a block #8
[27/10/2019 07:07:25.715] Datanode #119 has received a block #8
[27/10/2019 07:07:25.716] Datanode #162 has received a block #2
[27/10/2019 07:07:27.234] Datanode #162 has received a block #2
[27/10/2019 07:07:27.234] Datanode #119 has received a block #8
[27/10/2019 07:07:29.766] Datanode #119 has received a block #8
[27/10/2019 07:07:29.767] Datanode #162 has received a block #2
[27/10/2019 07:07:31.286] Datanode #162 has received a block #2
[27/10/2019 07:07:31.286] Datanode #119 has received a block #8
[27/10/2019 07:07:33.824] Datanode #119 has received a block #8
[27/10/2019 07:07:33.824] Datanode #162 has received a block #2
[27/10/2019 07:07:35.342] Datanode #119 has received a block #8
[27/10/2019 07:07:35.343] Datanode #162 has received a block #2
[27/10/2019 07:07:37.361] Datanode #162 has received a block #2
[27/10/2019 07:07:37.361] Datanode #119 has received a block #8
[27/10/2019 07:07:39.876] Datanode #162 has received a block #2
[27/10/2019 07:07:39.877] Datanode #119 has received a block #8
[27/10/2019 07:07:41.395] Datanode #162 has received a block #2
[27/10/2019 07:07:41.395] Datanode #119 has received a block #8
[27/10/2019 07:07:43.919] Datanode #119 has received a block #8
[27/10/2019 07:07:43.919] Datanode #162 has received a block #2
[27/10/2019 07:07:45.441] Datanode #119 has received a block #8
[27/10/2019 07:07:45.441] Datanode #162 has received a block #2
[27/10/2019 07:07:47.979] Datanode #162 has received a block #2
[27/10/2019 07:07:47.979] Datanode #119 has received a block #8
[27/10/2019 07:07:49.499] Datanode #162 has received a block #2
[27/10/2019 07:07:49.500] Datanode #119 has received a block #8
[27/10/2019 07:07:52.036] Datanode #119 has received a block #8
[27/10/2019 07:07:52.036] Datanode #162 has received a block #2
[27/10/2019 07:07:53.546] Datanode #119 has received a block #8
[27/10/2019 07:07:53.546] Datanode #162 has received a block #2
[27/10/2019 07:07:56.076] Datanode #119 has received a block #8
[27/10/2019 07:07:56.077] Datanode #162 has received a block #2
[27/10/2019 07:07:57.600] Datanode #119 has received a block #8
[27/10/2019 07:07:57.600] Datanode #162 has received a block #2
[27/10/2019 07:08:00.126] Datanode #162 has received a block #2
[27/10/2019 07:08:00.126] Datanode #119 has received a block #8
[27/10/2019 07:08:01.647] Datanode #119 has received a block #8
[27/10/2019 07:08:01.647] Datanode #162 has received a block #2
[27/10/2019 07:08:04.177] Datanode #119 has received a block #8
[27/10/2019 07:08:04.177] Datanode #162 has received a block #2
[27/10/2019 07:08:06.701] Datanode #119 has received a block #8
[27/10/2019 07:08:06.701] Datanode #162 has received a block #2
[27/10/2019 07:08:08.225] Datanode #162 has received a block #2
[27/10/2019 07:08:08.225] Datanode #119 has received a block #8
[27/10/2019 07:08:10.755] Datanode #162 has received a block #2
[27/10/2019 07:08:10.755] Datanode #119 has received a block #8
[27/10/2019 07:08:12.271] Datanode #162 has received a block #2
[27/10/2019 07:08:12.271] Datanode #119 has received a block #8
[27/10/2019 07:08:14.809] Datanode #162 has received a block #2
[27/10/2019 07:08:14.810] Datanode #119 has received a block #8
[27/10/2019 07:08:16.328] Datanode #162 has received a block #2
[27/10/2019 07:08:16.329] Datanode #119 has received a block #8
[27/10/2019 07:08:18.855] Datanode #162 has received a block #2
[27/10/2019 07:08:18.856] Datanode #119 has received a block #8
[27/10/2019 07:08:20.368] Datanode #162 has received a block #2
[27/10/2019 07:08:20.369] Datanode #119 has received a block #8
[27/10/2019 07:08:22.896] Datanode #162 has received a block #2
[27/10/2019 07:08:22.896] Datanode #119 has received a block #8
[27/10/2019 07:08:24.420] Datanode #162 has received a block #2
[27/10/2019 07:08:24.420] Datanode #119 has received a block #8
[27/10/2019 07:08:26.952] Datanode #162 has received a block #2
[27/10/2019 07:08:26.953] Datanode #119 has received a block #8
[27/10/2019 07:08:28.476] Datanode #119 has received a block #8
[27/10/2019 07:08:28.477] Datanode #162 has received a block #2
[27/10/2019 07:08:31.010] Datanode #162 has received a block #2
[27/10/2019 07:08:31.010] Datanode #119 has received a block #8
[27/10/2019 07:08:32.534] Datanode #119 has received a block #8
[27/10/2019 07:08:32.534] Datanode #162 has received a block #2
[27/10/2019 07:08:34.562] Datanode #119 has received a block #8
[27/10/2019 07:08:34.563] Datanode #162 has received a block #2
[27/10/2019 07:08:37.101] Datanode #119 has received a block #8
[27/10/2019 07:08:37.101] Datanode #162 has received a block #2
[27/10/2019 07:08:38.605] Datanode #162 has received a block #2
[27/10/2019 07:08:38.605] Datanode #119 has received a block #8
[27/10/2019 07:08:41.129] Datanode #162 has received a block #2
[27/10/2019 07:08:41.129] Datanode #119 has received a block #8
[27/10/2019 07:08:42.636] Datanode #162 has received a block #2
[27/10/2019 07:08:42.636] Datanode #119 has received a block #8
[27/10/2019 07:08:45.166] Datanode #119 has received a block #8
[27/10/2019 07:08:45.166] Datanode #162 has received a block #2
[27/10/2019 07:08:46.678] Datanode #119 has received a block #8
[27/10/2019 07:08:46.678] Datanode #162 has received a block #2
[27/10/2019 07:08:49.216] Datanode #162 has received a block #2
[27/10/2019 07:08:49.216] Datanode #119 has received a block #8
[27/10/2019 07:08:50.738] Datanode #119 has received a block #8
[27/10/2019 07:08:50.739] Datanode #162 has received a block #2
[27/10/2019 07:08:53.284] Datanode #162 has received a block #2
[27/10/2019 07:08:53.284] Datanode #119 has received a block #8
[27/10/2019 07:08:54.803] Datanode #162 has received a block #2
[27/10/2019 07:08:54.803] Datanode #119 has received a block #8
[27/10/2019 07:08:57.325] Datanode #162 has received a block #2
[27/10/2019 07:08:57.326] Datanode #119 has received a block #8
[27/10/2019 07:08:58.842] Datanode #162 has received a block #2
[27/10/2019 07:08:58.842] Datanode #119 has received a block #8
[27/10/2019 07:09:01.370] Datanode #162 has received a block #2
[27/10/2019 07:09:01.371] Datanode #119 has received a block #8
[27/10/2019 07:09:02.883] Datanode #162 has received a block #2
[27/10/2019 07:09:02.884] Datanode #119 has received a block #8
[27/10/2019 07:09:05.416] Datanode #119 has received a block #8
[27/10/2019 07:09:05.417] Datanode #162 has received a block #2
[27/10/2019 07:09:06.924] Datanode #162 has received a block #2
[27/10/2019 07:09:06.924] Datanode #119 has received a block #8
[27/10/2019 07:09:09.451] Datanode #119 has received a block #8
[27/10/2019 07:09:09.451] Datanode #162 has received a block #2
[27/10/2019 07:09:10.963] Datanode #119 has received a block #8
[27/10/2019 07:09:10.963] Datanode #162 has received a block #2
[27/10/2019 07:09:13.503] Datanode #119 has received a block #8
[27/10/2019 07:09:13.503] Datanode #162 has received a block #2
[27/10/2019 07:09:15.015] Datanode #162 has received a block #2
[27/10/2019 07:09:15.015] Datanode #119 has received a block #8
[27/10/2019 07:09:17.547] Datanode #119 has received a block #8
[27/10/2019 07:09:17.547] Datanode #162 has received a block #2
[27/10/2019 07:09:19.070] Datanode #162 has received a block #2
[27/10/2019 07:09:19.071] Datanode #119 has received a block #8
[27/10/2019 07:09:21.601] Datanode #119 has received a block #8
[27/10/2019 07:09:21.601] Datanode #162 has received a block #2
[27/10/2019 07:09:23.118] Datanode #162 has received a block #2
[27/10/2019 07:09:23.119] Datanode #119 has received a block #8
[27/10/2019 07:09:25.646] Datanode #162 has received a block #2
[27/10/2019 07:09:25.646] Datanode #119 has received a block #8
[27/10/2019 07:09:27.159] Datanode #162 has received a block #2
[27/10/2019 07:09:27.159] Datanode #119 has received a block #8
[27/10/2019 07:09:29.692] Datanode #119 has received a block #8
[27/10/2019 07:09:29.693] Datanode #162 has received a block #2
[27/10/2019 07:09:31.208] Datanode #119 has received a block #8
[27/10/2019 07:09:31.208] Datanode #162 has received a block #2
[27/10/2019 07:09:33.749] Datanode #162 has received a block #2
[27/10/2019 07:09:33.749] Datanode #119 has received a block #8
[27/10/2019 07:09:35.251] Datanode #119 has received a block #8
[27/10/2019 07:09:35.252] Datanode #162 has received a block #2
[27/10/2019 07:09:37.782] Datanode #162 has received a block #2
[27/10/2019 07:09:37.782] Datanode #119 has received a block #8
[27/10/2019 07:09:39.295] Datanode #119 has received a block #8
[27/10/2019 07:09:39.295] Datanode #162 has received a block #2
[27/10/2019 07:09:41.818] Datanode #162 has received a block #2
[27/10/2019 07:09:41.819] Datanode #119 has received a block #8
[27/10/2019 07:09:43.334] Datanode #162 has received a block #2
[27/10/2019 07:09:43.334] Datanode #119 has received a block #8
[27/10/2019 07:09:45.356] Datanode #162 has received a block #2
[27/10/2019 07:09:45.357] Datanode #119 has received a block #8
[27/10/2019 07:09:47.891] Datanode #162 has received a block #2
[27/10/2019 07:09:47.891] Datanode #119 has received a block #8
[27/10/2019 07:09:49.417] Datanode #119 has received a block #8
[27/10/2019 07:09:49.417] Datanode #162 has received a block #2
[27/10/2019 07:09:51.950] Datanode #119 has received a block #8
[27/10/2019 07:09:51.950] Datanode #162 has received a block #2
[27/10/2019 07:09:53.463] Datanode #162 has received a block #2
[27/10/2019 07:09:53.463] Datanode #119 has received a block #8
[27/10/2019 07:09:55.990] Datanode #162 has received a block #2
[27/10/2019 07:09:55.990] Datanode #119 has received a block #8
[27/10/2019 07:09:57.503] Datanode #162 has received a block #2
[27/10/2019 07:09:57.503] Datanode #119 has received a block #8
[27/10/2019 07:10:00.040] Datanode #119 has received a block #8
[27/10/2019 07:10:00.041] Datanode #162 has received a block #2
[27/10/2019 07:10:01.558] Datanode #119 has received a block #8
[27/10/2019 07:10:01.559] Datanode #162 has received a block #2
[27/10/2019 07:10:04.104] Datanode #162 has received a block #2
[27/10/2019 07:10:04.104] Datanode #119 has received a block #8
[27/10/2019 07:10:05.623] Datanode #119 has received a block #8
[27/10/2019 07:10:05.623] Datanode #162 has received a block #2
[27/10/2019 07:10:08.161] Datanode #162 has received a block #2
[27/10/2019 07:10:08.161] Datanode #119 has received a block #8
[27/10/2019 07:10:09.674] Datanode #162 has received a block #2
[27/10/2019 07:10:09.674] Datanode #119 has received a block #8
[27/10/2019 07:10:12.212] Datanode #162 has received a block #2
[27/10/2019 07:10:12.213] Datanode #119 has received a block #8
[27/10/2019 07:10:13.735] Datanode #162 has received a block #2
[27/10/2019 07:10:13.735] Datanode #119 has received a block #8
[27/10/2019 07:10:16.258] Datanode #119 has received a block #8
[27/10/2019 07:10:16.259] Datanode #162 has received a block #2
[27/10/2019 07:10:17.771] Datanode #162 has received a block #2
[27/10/2019 07:10:17.772] Datanode #119 has received a block #8
[27/10/2019 07:10:20.310] Datanode #162 has received a block #2
[27/10/2019 07:10:20.310] Datanode #119 has received a block #8
[27/10/2019 07:10:21.834] Datanode #119 has received a block #8
[27/10/2019 07:10:21.834] Datanode #162 has received a block #2
[27/10/2019 07:10:24.366] Datanode #119 has received a block #8
[27/10/2019 07:10:24.367] Datanode #162 has received a block #2
[27/10/2019 07:10:25.882] Datanode #162 has received a block #2
[27/10/2019 07:10:25.882] Datanode #119 has received a block #8
[27/10/2019 07:10:28.407] Datanode #162 has received a block #2
[27/10/2019 07:10:28.407] Datanode #119 has received a block #8
[27/10/2019 07:10:29.925] Datanode #119 has received a block #8
[27/10/2019 07:10:29.925] Datanode #162 has received a block #2
[27/10/2019 07:10:32.453] Datanode #162 has received a block #2
[27/10/2019 07:10:32.453] Datanode #119 has received a block #8
[27/10/2019 07:10:33.967] Datanode #162 has received a block #2
[27/10/2019 07:10:33.967] Datanode #119 has received a block #8
[27/10/2019 07:10:36.503] Datanode #119 has received a block #8
[27/10/2019 07:10:36.504] Datanode #162 has received a block #2
[27/10/2019 07:10:38.020] Datanode #162 has received a block #2
[27/10/2019 07:10:38.020] Datanode #119 has received a block #8
[27/10/2019 07:10:40.545] Datanode #119 has received a block #8
[27/10/2019 07:10:40.545] Datanode #162 has received a block #2
[27/10/2019 07:10:42.063] Datanode #119 has received a block #8
[27/10/2019 07:10:42.063] Datanode #162 has received a block #2
[27/10/2019 07:10:44.591] Datanode #119 has received a block #8
[27/10/2019 07:10:44.591] Datanode #162 has received a block #2
[27/10/2019 07:10:46.115] Datanode #162 has received a block #2
[27/10/2019 07:10:46.115] Datanode #119 has received a block #8
[27/10/2019 07:10:48.132] Datanode #119 has received a block #8
[27/10/2019 07:10:48.132] Datanode #162 has received a block #2
[27/10/2019 07:10:50.659] Datanode #119 has received a block #8
[27/10/2019 07:10:50.660] Datanode #162 has received a block #2
[27/10/2019 07:10:52.178] Datanode #119 has received a block #8
[27/10/2019 07:10:52.178] Datanode #162 has received a block #2
[27/10/2019 07:10:54.700] Datanode #119 has received a block #8
[27/10/2019 07:10:54.700] Datanode #162 has received a block #2
[27/10/2019 07:10:56.219] Datanode #162 has received a block #2
[27/10/2019 07:10:56.219] Datanode #119 has received a block #8
[27/10/2019 07:10:58.740] Datanode #119 has received a block #8
[27/10/2019 07:10:58.740] Datanode #162 has received a block #2
[27/10/2019 07:11:00.264] Datanode #162 has received a block #2
[27/10/2019 07:11:00.264] Datanode #119 has received a block #8
[27/10/2019 07:11:02.797] Datanode #119 has received a block #8
[27/10/2019 07:11:02.797] Datanode #162 has received a block #2
[27/10/2019 07:11:04.310] Datanode #119 has received a block #8
[27/10/2019 07:11:04.310] Datanode #162 has received a block #2
[27/10/2019 07:11:06.837] Datanode #119 has received a block #8
[27/10/2019 07:11:06.838] Datanode #162 has received a block #2
[27/10/2019 07:11:08.356] Datanode #162 has received a block #2
[27/10/2019 07:11:08.357] Datanode #119 has received a block #8
[27/10/2019 07:11:10.861] Datanode #162 has received a block #2
[27/10/2019 07:11:10.862] Datanode #119 has received a block #8
[27/10/2019 07:11:13.397] Datanode #119 has received a block #8
[27/10/2019 07:11:13.397] Datanode #162 has received a block #2
[27/10/2019 07:11:14.909] Datanode #162 has received a block #2
[27/10/2019 07:11:14.909] Datanode #119 has received a block #8
[27/10/2019 07:11:17.423] Datanode #162 has received a block #2
[27/10/2019 07:11:17.423] Datanode #119 has received a block #8
[27/10/2019 07:11:18.939] Datanode #162 has received a block #2
[27/10/2019 07:11:18.939] Datanode #119 has received a block #8
[27/10/2019 07:11:21.453] Datanode #119 has received a block #8
[27/10/2019 07:11:21.453] Datanode #162 has received a block #2
[27/10/2019 07:11:22.972] Datanode #119 has received a block #8
[27/10/2019 07:11:22.972] Datanode #162 has received a block #2
[27/10/2019 07:11:25.493] Datanode #162 has received a block #2
[27/10/2019 07:11:25.493] Datanode #119 has received a block #8
[27/10/2019 07:11:27.008] Datanode #162 has received a block #2
[27/10/2019 07:11:27.009] Datanode #119 has received a block #8
[27/10/2019 07:11:29.533] Datanode #162 has received a block #2
[27/10/2019 07:11:29.533] Datanode #119 has received a block #8
[27/10/2019 07:11:31.057] Datanode #119 has received a block #8
[27/10/2019 07:11:31.058] Datanode #162 has received a block #2
[27/10/2019 07:11:33.590] Datanode #119 has received a block #8
[27/10/2019 07:11:33.590] Datanode #162 has received a block #2
[27/10/2019 07:11:35.114] Datanode #119 has received a block #8
[27/10/2019 07:11:35.115] Datanode #162 has received a block #2
[27/10/2019 07:11:37.647] Datanode #119 has received a block #8
[27/10/2019 07:11:37.648] Datanode #162 has received a block #2
[27/10/2019 07:11:39.170] Datanode #162 has received a block #2
[27/10/2019 07:11:39.170] Datanode #119 has received a block #8
[27/10/2019 07:11:41.695] Datanode #119 has received a block #8
[27/10/2019 07:11:41.696] Datanode #162 has received a block #2
[27/10/2019 07:11:43.217] Datanode #119 has received a block #8
[27/10/2019 07:11:43.217] Datanode #162 has received a block #2
[27/10/2019 07:11:45.756] Datanode #119 has received a block #8
[27/10/2019 07:11:45.756] Datanode #162 has received a block #2
[27/10/2019 07:11:47.271] Datanode #119 has received a block #8
[27/10/2019 07:11:47.271] Datanode #162 has received a block #2
[27/10/2019 07:11:49.796] Datanode #162 has received a block #2
